HLCIT CODE,Municipality,Pcode,District,0_14,15_49,50+,Total
524 4 37 3 003,Sundarbazar,NP,Lamjung,0,0,0,0
524 1 05 3 002,Sundarharaicha,NP,Morang,"14,088","14,635","5,065","33,788"
524 1 13 4 005,Sunkoshi,NP,Okhaldhunga,"14,215","13,868","4,424","32,507"
524 3 20 4 004,Sunkoshi,NP,Sindhuli,"12,807","11,250","3,428","27,485"
524 3 23 4 007,Sunkoshi,NP,Sindhupalchok,"11,691","9,780","3,678","25,149"
524 1 14 4 002,Sunkoshi,NP,Udayapur,"10,516","10,121","3,101","23,738"
524 5 47 3 001,Sunwal,NP,Nawalparasi West,"11,448","9,958","3,264","24,670"
524 1 05 3 007,Sunwarshi,NP,Morang,"7,497","7,266","2,596","17,359"
524 7 67 4 002,Surma,NP,Bajhang,"11,413","10,587","3,166","25,166"
524 7 74 4 003,Surnaya,NP,Baitadi,"9,764","9,071","2,727","21,562"
524 2 15 3 001,Surunga,NP,Saptari,"11,137","10,582","3,045","24,764"
524 3 26 3 004,Suryabinayak,NP,Bhaktapur,0,0,0,0
524 3 28 4 004,Suryagadhi,NP,Nuwakot,"13,551","13,014","5,236","31,801"
524 1 03 3 003,Suryodaya,NP,Ilam,"13,830","14,619","4,492","32,941"
524 5 47 4 004,Susta,NP,Nawalparasi West,"11,157","9,391","3,397","23,945"
524 2 33 4 008,Suwarna,NP,Bara,"9,079","7,847","2,625","19,551"
524 5 54 4 007,Suwarnabati,NP,Rolpa,"10,396","8,989","3,098","22,483"
524 7 68 4 005,Swami Kartik,NP,Bajura,"8,353","9,740","2,731","20,824"
524 5 55 3 001,Sworgadwary,NP,Pyuthan,"9,325","8,461","3,117","20,903"
524 3 28 4 005,Tadi,NP,Nuwakot,"7,277","7,487","1,956","16,720"
524 7 67 4 003,Talkot,NP,Bajhang,"7,923","7,780","2,199","17,902"
524 3 22 4 007,Tamakoshi,NP,Dolakha,0,0,0,0
524 4 43 4 002,Taman Khola,NP,Baglung,"49,998","80,340","17,403","147,741"
524 6 66 4 006,Tanjakot,NP,Humla,"30,467","37,684","9,867","78,018"
524 5 46 3 001,Tansen,NP,Palpa,"21,401","26,921","6,992","55,314"
524 1 14 4 001,Tapli,NP,Udayapur,"28,285","38,326","8,975","75,586"
524 4 43 4 004,Tara Khola,NP,Baglung,"17,637","27,857","6,351","51,845"
524 3 27 3 001,Tarakeshwor,NP,Kathmandu,"26,475","39,183","10,426","76,084"
524 3 28 4 003,Tarkeshwar,NP,Nuwakot,"29,740","36,335","9,350","75,425"
524 6 63 4 006,Tatopani,NP,Jumla,"8,271","8,621","2,032","18,924"
524 3 24 4 005,Temal,NP,Kabhrepalanchok,"14,316","26,759","6,912","47,987"
524 3 31 3 001,Thaha,NP,Makawanpur,"9,790","9,830","2,433","22,053"
524 3 30 4 011,Thakre,NP,Dhading,"11,730","19,875","4,854","36,459"
524 5 58 3 003,Thakurbaba,NP,Bardiya,"12,658","15,899","4,126","32,683"
524 7 67 4 009,Thalara,NP,Bajhang,"16,524","25,640","6,376","48,540"
524 6 61 4 001,Thantikandh,NP,Dailekh,"15,321","18,845","5,087","39,253"
524 4 45 4 005,Thasang,NP,Mustang,"34,144","55,602","14,853","104,599"
524 5 54 4 003,Thawang,NP,Rolpa,"18,393","24,465","6,621","49,479"
524 2 34 4 001,Thori,NP,Parsa,"18,016","22,744","6,074","46,834"
524 6 62 3 002,Thuli Bheri,NP,Dolpa,"21,958","27,681","7,004","56,643"
